id;model;msnbc;msnemb;OBCN;registeredDate;gpsId;qrCode;station.id;station.name;status;states;Lock RSOC;Lock voltage;location;lastCheckUp;totalTripsSinceLastCheckUp;tripsDurationSinceLastCheckUp;lastReportDate;totalTrips;tripsDurationTotal;Battery voltage;Battery temperature;Battery RSOC;Battery current;Motor odometer;custom1;Lock ID;Lock IMEI;Lock UICCID;Lock Status;Lock firmware;BCU firmware;Battery Firmware;Motor Firmware;nfcTagUid;Abandoned;Misparked;Last GPS Position;Last GPS Position Date;BCU Serial Number
6503;FIT;T3594;00006B77D016500304E0;S/N 006322;29/5/2023 18:31;;NPUEZE;;;AWOL;AWOL;;;UNKNOWN;7/7/2025 14:10;13;18207;21/7/2025 15:11;2336;2832907;;;;;;;;;;;;;;;;false;false;-34.60515159, -58.36882117;21/7/2025 12:32;
4077;ICONIC;T1140;000050AEC950000304E0;P0633564;26/5/2019 07:06;;FXBTQK;;;AWOL;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
4248;ICONIC;T0115;0000C021B108000304E0;P0633341;17/7/2019 10:53;Si;NXZZZE;;;AWOL;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3235;ICONIC;T1374;000056CFC950000304E0;P0634289;19/5/2019 18:54;;NOOGWD;;;AWOL;AWOL;;;UNKNOWN;4/7/2025 02:52;29;30273;17/7/2025 11:27;7696;19383325;;;;;;;;;;;;;;;;false;false;-34.637792016250565, -58.405178766003004;16/7/2025 21:31;
3461;ICONIC;T0668;0000DF9FC950000304E0;P0634947;20/5/2019 20:53;;NKLUGF;;;AWOL;AWOL;;;UNKNOWN;17/7/2025 10:53;4;311;21/7/2025 14:28;7270;15249237;;;;;;;;;;;;;;;;false;false;-34.622092, -58.448547;21/7/2025 14:28;
2041;ICONIC;T0538;0000FBF5C950000304E0;P0633453;10/5/2019 15:49;Si;FQFYAI;;;AWOL;AWOL;;;UNKNOWN;21/1/2025 08:50;49;71535;4/2/2025 22:44;8201;13461860;;;;;;;;;;;;;;;;false;false;0.0, 0.0;4/2/2025 20:03;
2202;ICONIC;T1630;0000F502D216500304E0;P0632266;11/5/2019 14:00;;NPAJPF;;;AWOL;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2273;ICONIC;T1234;000012B8C950000304E0;P0632850;11/5/2019 14:00;;FTHMFC;;;MISSING;MISSING;;;IN_USE;6/2/2023 08:45;1;623;6/2/2023 10:53;6099;13208070;;;;;;;;;;;;;;;;false;false;0.0, 0.0;;
2579;ICONIC;T1520;00000C90B108000304E0;P0632920;13/5/2019 18:29;;NDWZPD;407;330 - Parque Avellaneda;MISSING;MISSING;;;AT_STATION;9/7/2025 13:06;31;40604;21/7/2025 13:23;6710;9344897;;;;;;;;;;;;;;;;false;false;-34.64243068443109, -58.478115796622575;21/7/2025 12:02;
2652;ICONIC;T1032;0000178CC950000304E0;P0633907;15/5/2019 09:45;Si;NPZLPI;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2733;FIT;T1591;0000D3D9D216500304E0;S/N 003623;15/5/2019 09:45;;NBXSPJ;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2790;ICONIC;T1099;000006B6C950000304E0;P0634299;15/5/2019 17:12;;FMELJJ;;;MISSING;MISSING;;;IN_USE;19/7/2025 17:33;6;12193;21/7/2025 14:38;9106;13577598;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:17;
2938;ICONIC;T0541;00009E8BC950000304E0;P0634215;16/5/2019 19:16;;FYSCSF;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3035;ICONIC;T1091;00009DCEC950000304E0;P0634414;16/5/2019 19:16;;FZZAXI;;;MISSING;MISSING;;;IN_USE;19/7/2025 19:42;1;350;21/7/2025 14:38;10926;14000058;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:11;
3158;ICONIC;T3436;0000E6DDC950000304E0;P0630002;17/5/2019 18:51;;NJEMWF;;;MISSING;MISSING;;;IN_USE;8/7/2025 09:13;31;51311;21/7/2025 15:08;4969;9219108;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:48;
3204;ICONIC;T0509;0000BCE6C950000304E0;P0633422;19/5/2019 18:54;;FETUBB;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3283;ICONIC;T1361;00001999C950000304E0;P0633499;19/5/2019 18:54;;FFBGIJ;;;MISSING;MISSING;;;UNKNOWN;2/1/2025 19:45;6;16434;6/1/2025 05:14;7094;13904588;;;;;;;;;;;;;;;;false;false;0.0, 0.0;6/1/2025 03:51;
3395;ICONIC;T0817;00003FC8C950000304E0;P0634283;20/5/2019 20:53;;NPINHC;;;MISSING;MISSING;;;IN_USE;14/7/2025 11:54;27;115186;21/7/2025 14:08;8625;15126278;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 12:39;
3573;ICONIC;T1065;00000B8BC950000304E0;P0634609;20/5/2019 20:53;;FVXDIH;;;MISSING;MISSING;;;IN_USE;11/7/2025 07:14;25;22487;21/7/2025 01:50;6342;13940198;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 00:25;
3698;ICONIC;T0850;000086F2C950000304E0;P0633894;23/5/2019 08:24;;FKUACB;;;MISSING;MISSING;;;IN_USE;18/7/2025 09:19;3;6133;21/7/2025 15:23;8326;16033707;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:54;
6447;FIT;T3492;0000E70CD816500304E0;S/N 006061;29/5/2023 18:31;;NQYJZJ;;;MISSING;MISSING;;;IN_USE;14/3/2024 12:14;7;8876;16/3/2024 17:28;978;1312565;;;;;;;;;;;;;;;;false;false;0.0, 0.0;16/3/2024 16:12;
6487;FIT;T3586;0000F605D016500304E0;S/N 004529;29/5/2023 18:31;;NHFQAI;;;MISSING;MISSING;;;IN_USE;12/7/2025 03:46;21;21436;21/7/2025 13:23;1857;2231533;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 12:00;
6629;FIT;T3701;0000B17AD516500304E0;S/N 005531;29/5/2023 18:37;;NPOCLK;;;MISSING;MISSING;;;IN_USE;15/7/2025 11:53;2;2540;21/7/2025 13:23;2204;2703967;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 11:54;
6633;FIT;T3697;000013BDD016500304E0;S/N 005737;29/5/2023 18:37;;NJCJTI;;;MISSING;MISSING;;;UNKNOWN;27/7/2024 09:37;10;12925;30/7/2024 19:33;911;1100967;;;;;;;;;;;;;;;;false;false;0.0, 0.0;30/7/2024 18:16;
6661;FIT;T3839;0000E27AD116500304E0;S/N 004982;29/5/2023 18:39;;NUWLZI;;;MISSING;MISSING;;;IN_USE;18/7/2025 12:57;5;8671;21/7/2025 15:23;1896;2586229;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 14:06;
6715;FIT;T4033;000013DED016500304E0;S/N 006580;29/5/2023 18:40;;NFMLJB;;;MISSING;MISSING;;;UNKNOWN;2/1/2025 16:26;24;30078;16/1/2025 18:14;1801;2210631;;;;;;;;;;;;;;;;false;false;0.0, 0.0;16/1/2025 16:44;
6807;FIT;T4462;0000F2E0D016500304E0;S/N 005503;29/5/2023 18:42;;NHXIZB;;;MISSING;MISSING;;;IN_USE;7/7/2025 08:58;24;18273;12/7/2025 23:12;2331;2813292;;;;;;;;;;;;;;;;false;false;0.0, 0.0;12/7/2025 21:49;
6935;FIT;T4347;0000CA88D516500304E0;S/N 005600;12/7/2023 16:56;;NJTNTG;;;MISSING;MISSING;;;IN_USE;17/7/2025 04:01;11;21325;21/7/2025 15:23;1818;2244164;;;;;;;;;;;;;;;;false;false;0.0, 0.0;21/7/2025 13:57;
6966;FIT;T4547;0000D64AD516500304E0;S/N 004894;12/7/2023 17:00;;NPWGZI;407;330 - Parque Avellaneda;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
381;ICONIC;T0964;000066E8B008000304E0;P0630858;1/2/2019 13:59;;FZRZNE;;;MISSING;MISSING;;;UNKNOWN;21/1/2025 02:44;14;15936;24/1/2025 20:52;9553;14913946;;;;;;;;;;;;;;;;false;false;0.0, 0.0;24/1/2025 19:34;
521;FIT;T1429;0000E655D716500304E0;S/N 001763;3/5/2019 11:38;;NQBAUK;;;MISSING;NEED_CHECKUP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
