Mes-Año;Q_Viajes;Acumulado_Viajes;promedio_diario_dia_habil;Usuarios_Unicos;Usuarios_Registrados;porcentaje_Viajes
2024-01;260445;260445;9831;54044;20455;0
2024-02;245225;505670;10148;52414;16179;-5,84%
2024-03;278089;783759;10740;59896;17786;13,40%
2024-04;246682;1030441;9886;52372;12848;-11,29%
2024-05;166995;1197436;9551;41167;10686;-32,30%
2024-06;212324;1409760;9241;47028;10976;27,14%
2024-07;208374;1618134;8221;46901;13350;-1,86%
2024-08;213954;1832088;8634;47971;12924;2,68%
2024-09;308981;2141069;12466;64859;20625;44,41%
2024-10;329591;2470660;12489;68699;21973;6,67%
2024-11;314977;2785637;12947;67149;20303;-4,43%
2024-12;290508;3076145;11229;64812;18974;-7,77%
2025-01;289004;3365149;10838;64661;22896;-0,52%
2025-02;247259;3612408;10456;56356;14571;-14,44%
2025-03;275399;3887807;11033;61759;16378;11,38%
2025-04;284741;4172548;11110;63082;16294;3,39%
2025-05;227038;4399586;8692;57423;13696;-20,27%
2025-06;148812;4548398;6160;42337;9340;-34,46%
2025-07;4632;4553030;4632;3599;159;-96,89%
